,specimen_prediction,Id,paper
14328, TMM 45947 515 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14329, TMM 45947 516 KFmA ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14331, KFmA and ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14332, KFmA KFmA ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14339, TMM 45947 516 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14350, TMM 45947 511 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14355, TMM 45947 511 OMNH 28119 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14360, OMNH 28119 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14365, TMM 45947 512 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14377, TMM 45947 513 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14392, KFmA where ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14393, KFmA and OMNH 33863 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14395, KFmA share ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14403, TMM 45947 519 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14428, TMM 45947 520 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14449, TMM 45947 521 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14457, TMM 49547 522 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14480, TMM 45947 522 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14488, TMM 45947 524 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14528, TMM 45947 524 TMM 45947 524 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14535, TMM 45847 525 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14538, TMM 45847 525 TMM 45947 563 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14565, LSUMG 140 6104 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14574, TMM 45947 531 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14577, TMM 45947 531 TMM 45947 532 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14597, TMM 45947 526 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14607, TMM 45947 530 TMM 45947 526 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14615, TMM 45947 529 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14616, TMM 45947 528 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14617, TMM 45947 527 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14643, TMM 49547 534 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14659, UW 25116A ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14661, TMM 45947 533 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14676, TMM 45947 540 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14687, OMNH 30872 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14699, TMM 45947 540 TMM 43057 270 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14703, TMM 45947 542 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14708, TMM 45947 542 TMM 45947 543 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14722, TMM 45947 543 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14740, TMM 45947 564 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14744, TMM 45947 565 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14746, TMM 43057 614 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14750, OMNH 25337 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14761, TMM 45947 544 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14789, TMM 45947 554 USNM 2134 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14792, MNA PL ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14809, TMM 45947 550 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14830, TMM 45947 551 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14847, TMM 45947 552 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14862, USNM 10701 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14863, TMM occlusal and ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14866, USNM 10701 USNM 10701 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14893, LSUMG 140 1604 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14984, AMNH 5662 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
14988, TMM 31098 44 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
14989, AMNH 5722 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15022, NMMNH P 25801 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15073, NMMNH P 44698 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15074, TMM 31098 44 NMMNH P 78661 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15075, NMMNH P 78662 NMMNH P 78663 NMMNH P 78664 NMMNH P 78665 NMMNH P 78666 NMMNH P 78667 NMMNH P 78668 NMMNH P 78669 NMMNH P 78670 NMMNH P 78671 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15091, NMMNH P 78661 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15125, NMMNH 78661 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15134, NMMNH P 44698 NMMNH P 78661 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys,A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15192, NMMNH P 78661 TMM 31098 44 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15209, NMMNH P 78671 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15230, NMMNH P 78661 NMMNH P 44698 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15235, NMMNH 44698 NMMNH P 78661 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15241, NMMNH P 44698 NMMNH P 68667 68670 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15246, NMMNH P 78663 78666 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15255, NMMNH P 78662 NMMNH P 44698 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15265, AMNH 5722 TMM 31098 44 TMM 31098 44 ,"A new species of Lasalichthys (Actinopterygii, Redfieldiiformes) from the Upper Triassic Dockum Group of Howard County, Texas, with revisions to the genera Lasalichthys and Synorichthys",4
15815, UCMP 154452 UALVP 526342 MOR 1999 ,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,16
15950, CMN 40602 ,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,16
16020, MOR 1158 ,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,16
16045, MOR 979R ,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,16
16186, MOR 548 ,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,16
16257, USNM 14765 ,"Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications,Ontogenetic niche shifts in megaherbivorous dinosaurs of Late Cretaceous North America and their ecological implications",16
16289, TMM ,The Archaic Record At Lubbock Lake,29
16304, NOAA 1982 ,The Archaic Record At Lubbock Lake,29
16375, WPA ,"The Archaic Record At Lubbock Lake,The Archaic Record At Lubbock Lake,The Archaic Record At Lubbock Lake",29
16379, WPA Unit ,The Archaic Record At Lubbock Lake,29
16428, TMM material TMM accession record ,The Archaic Record At Lubbock Lake,29
16445, TMM and WTM ,The Archaic Record At Lubbock Lake,29
16449, TTU A 1 TIU A24500 ,The Archaic Record At Lubbock Lake,29
16467, TMM explorations in ,The Archaic Record At Lubbock Lake,29
16472, TMM accession notes ,The Archaic Record At Lubbock Lake,29
16490, TMM explorations ,The Archaic Record At Lubbock Lake,29
16491, TMM party Evans 1948 ,The Archaic Record At Lubbock Lake,29
16528, SMU 492 ,The Archaic Record At Lubbock Lake,29
16550, TMM investigations into ,The Archaic Record At Lubbock Lake,29
16554, TTU A2299 TTU A 14050 ,The Archaic Record At Lubbock Lake,29
16556, TTU A2300 ,The Archaic Record At Lubbock Lake,29
16559, TTU A2407 TTU A2380 ,The Archaic Record At Lubbock Lake,29
16562, TTU A14151 ,The Archaic Record At Lubbock Lake,29
16563, TTU A 14155 TTU A2302 ,The Archaic Record At Lubbock Lake,29
16595, TMM work at ,The Archaic Record At Lubbock Lake,29
16601, TTU A989 TTU A985 ,The Archaic Record At Lubbock Lake,29
16602, TTU A981 TIU A986 TIU A984 ,The Archaic Record At Lubbock Lake,29
16604, TTU A988 TTU A987 TTU A982 ,The Archaic Record At Lubbock Lake,29
16606, TTU A806 TTU A793 ,The Archaic Record At Lubbock Lake,29
16608, TTU A954 TTU A813 TIU A22438 ,The Archaic Record At Lubbock Lake,29
16609, TTU TTU A807 TTU A808 TTU A814 ,The Archaic Record At Lubbock Lake,29
16616, TTU A 11805 TTU A11812 TTU A11819 ,The Archaic Record At Lubbock Lake,29
16617, TTU A11820 TTU A1513 TTU A1512 ,The Archaic Record At Lubbock Lake,29
16621, TMM bone bed ,The Archaic Record At Lubbock Lake,29
16645, TTU A8198 ,The Archaic Record At Lubbock Lake,29
16649, TTU A28954 TIU A28957 ,The Archaic Record At Lubbock Lake,29
16805, WA23 14 ,The Archaic Record At Lubbock Lake,29
16814, WA23 15 ,The Archaic Record At Lubbock Lake,29
16865, TIU A22431 ,The Archaic Record At Lubbock Lake,29
16868, TTU TrU A24840 TTU ,The Archaic Record At Lubbock Lake,29
16872, TTU A3458 ,The Archaic Record At Lubbock Lake,29
16873, TTU TTU TTU A22126 ,The Archaic Record At Lubbock Lake,29
16876, TTU A3390 ,The Archaic Record At Lubbock Lake,29
16877, TIU A22129 ,The Archaic Record At Lubbock Lake,29
16912, TIU TIU A22427 TTU TIU A22425 TIU A22424 TTU A22429 TIU TIU ,The Archaic Record At Lubbock Lake,29
16915, TTU A22425 ,The Archaic Record At Lubbock Lake,29
16917, TIU A22426 ,The Archaic Record At Lubbock Lake,29
16920, TTU A781 ,The Archaic Record At Lubbock Lake,29
16922, TIU A767 ,The Archaic Record At Lubbock Lake,29
16924, TTU A771 ,The Archaic Record At Lubbock Lake,29
16926, TIU A771 TIU A777 TIU TIU A779 TTU A779 ,The Archaic Record At Lubbock Lake,29
16927, TTU A768 ,The Archaic Record At Lubbock Lake,29
16928, TIU A24848 ,The Archaic Record At Lubbock Lake,29
16929, TIU A24832 ,The Archaic Record At Lubbock Lake,29
16930, TIU A24822 TIU A24843 ,The Archaic Record At Lubbock Lake,29
16932, TIU A24830 TIU ,The Archaic Record At Lubbock Lake,29
16934, TIU A24854 TIU A746 TTU A751 TIU A744 ,The Archaic Record At Lubbock Lake,29
16939, TTU A6437 ,The Archaic Record At Lubbock Lake,29
16941, TTU A6436 ,The Archaic Record At Lubbock Lake,29
16943, TTU A6471 ,The Archaic Record At Lubbock Lake,29
16946, TTU A22189 ,The Archaic Record At Lubbock Lake,29
16948, TTU A 12325 ,The Archaic Record At Lubbock Lake,29
16955, TMM investigations with ,The Archaic Record At Lubbock Lake,29
16984, FA 16 ofWPA unit ,The Archaic Record At Lubbock Lake,29
16985, TMM excavators encountered ,The Archaic Record At Lubbock Lake,29
17070, HoUiday 1985d ,The Archaic Record At Lubbock Lake,29
17144, FA 16 ,The Archaic Record At Lubbock Lake,29
17187, TMM 42304 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17188, TMM 46015 1 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved,A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17227, TMM 46015 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved,A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved,A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved,A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17349, sOMNH 10165 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17431, TMM 00000 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17442, AMNH 970 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
17443, DMNH 48617 ,"A NEW CHASMOSAURINE DINOSAUR FROM THE JAVELINA FORMATION (LATE CRETACEOUS -MAASTRICHTIAN) OF BIG BEND NATIONAL PARK, TEXAS Approved",2
