,specimen_prediction,Id,paper
4763, Korth 2000 ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4768, TMM 31263 11 ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4776, TMM 31263 12 ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4783, TMM 31263 2 ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4839, WPA ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4845, VLP 3624 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4850, TTM 31025 140 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4869, WPA quarry ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4870, WPA WPA ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4924, NMMNH L 860 and NMMNH L 3775 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4934, NMMNH P 34010 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4948, NMMNH P 34291 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4949, NMMNH P 34292 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4952, NMMNH P 34293 NMMNH P 30817 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4956, NMMNH P 34373 NMMNH P 26421 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4958, MNA V3192 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4960, MNA V3194 MNA V3193 MNA V3195 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4967, NMMNH P 34447 P 34448 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
4998, PFV 191 ,"TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS",25
4999, PFV 173 PFV 295 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5005, VPL 3869 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5006, VPL 3624 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5007, VPL 3878 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5009, VPL 3869 TTU TTU TTU TTU ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5010, TTU P09497 VPL 3624 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5011, VPL 3878 VPL 3624 TTU P10447 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5024, PFV 161 PFV 97 ,TAXONOMY AND BIOSTRATIGRAPHY OF THE LATE TRIASSIC ARCHOSAUROMORPH TRILOPHOSAURUS,25
5740, OAEI 2007 ,"Program Committee Co-Chairs,Program Committee Co-Chairs",18
5962, HMM system ,Program Committee Co-Chairs,18
6012, HMM induces ,Program Committee Co-Chairs,18
6013, HMM model ,Program Committee Co-Chairs,18
6014, HMM could be ,Program Committee Co-Chairs,18
6027, HMM performance HMM below ,Program Committee Co-Chairs,18
6029, HMM and NB ,Program Committee Co-Chairs,18
6113, NCLB invests ,Program Committee Co-Chairs,18
6199, LTSC 1484 20 ,"Program Committee Co-Chairs,Program Committee Co-Chairs",18
6262, DLF ,Program Committee Co-Chairs,18
6955, EOS 350 ,Program Committee Co-Chairs,18
7254, MARC21 is ,Program Committee Co-Chairs,18
7286, FOAF 36 ,Program Committee Co-Chairs,18
7681, DDC 22 ,Program Committee Co-Chairs,18
7727, CACAO will ,"Program Committee Co-Chairs,Program Committee Co-Chairs",18
7734, MARC 21 ,Program Committee Co-Chairs,18
7752, DDC 640 DDC 640 ,Program Committee Co-Chairs,18
7759, DDC 690 ,Program Committee Co-Chairs,18
7771, NKOS ,Program Committee Co-Chairs,18
8098, AMNH A M 73 ,,0
8104, AMNH 30 ,,0
8106, TMM d inosaur ,,0
8131, VH90 VL ,,0
8242, LSUMG 489 5694 ,,0
8249, TMM perso nnel ,,0
8267, WPA 1 W PA ,,0
